Compay_name;Country
Mervex Ltd;New Zealand
Agercom Grup SRL;Moldova
Biro Media LLC;Moldova
Neghina Com Ltd;Moldova
Akron Resources Corp;BVI
Alvaro Grup;Moldova
Anduril Enterprises Ltd.;Cyprus
ASCOM OIL COMPANY LTD.;BVI
Astrocom AG;Seychelles
Atimex Ltd;Dominica
ATLANTA SALES LIMITED;Moldova?
Batios Holding Ltd.;Moldova?
Blacksiris Trading Ltd;Cyprus
Bristoll Export;New zealand
Bristoll Export Ltd;Seychelles or New Zealand
Caritas Group SRL;Ukraine?
CASCADO AG;Panama
CHESTER (NZ) LIMITED;NZ
Crestberg Ltd;Dominica
Cristal Impex SRL;Ukraine
Dasler Con SRL;Ukraine?
Delco Networks S.A.;BVI
Dino Capital S.A.;Panama
Dorado Group Ltd;Bulgaria
Dracard SRL;Romania
Emmerson International Corp.;BVI
Exponet GMBH;Seychelles
Ferratex Group Ltd;New Zealand
Formond Inc.;Marshall Islands
Geowide Ltd;New Zealand
GULF BUSINESS PARTNERS CORPORATION;UAE
GULF INVEST REAL ESTATE BROKER;UAE
GULF WORLDWIDE DISTRIBUTION FZE;UAE
H&P EQUIPMENT INC;Seychelles
HANEDAN GENERAL TRADING L.L.C;UAE
Hector International Ltd;New Zealand
HOMEWORK L.L.C.;UAE
HUSEYNOV DIAM L.L.C.;UAE
Insidown Ltd;bvi
Integra Logistics System JLT;UAE
INTEGRI S.A;Panama
International Media Overseas SA.;Panama
Ismida Alliance Ltd;Belize
IT AVIONICS INC;Seychelles
Jetfield Networks Ltd;New Zealand
JEWELLERY SPOT L.L.C;UAE
Jubilee Store LCC;UAE
Keanu Group Ltd;
KEDASSIA LIMITED;Cyprus
KENOVETCO LTD;Cyprus
Kentway S.A.;BVI
Keronol Ltd;New Zealand
KEVLAR GENERAL TRADING LIMITED LLC;UAE
Komer Food;Panama
Lavima Impex LLC;Moldova
Longford Partners Ltd;Moldova
Loritex Ltd;New Zealand
Lyra Enterprises Ltd;USA
Magic World General Trading L.L.C.;UAE
MALDEV GENERAL TRADING;UAE
Management Innovations Ltd;
Marteza Alliance Ltd;Seychelles
Melide Ltd;Moldova
MEP Group;Seychelles
MIDLAND CONSULT LTD;Cyprus
Molint Grup LLC;Moldova
Ofra Group Ltd;
Orby Trading LP;
Piemonte (NZ) Ltd ;
Platon Generashon Financial BV;Netherlands
Plotin Associated;Panama
Primecross Inc;Marshall Islands
Provolirom SRL;Moldova
Redstone Financial Ltd;Belize
RF Procurement Ltd;Isle of Man
Sandalwood Continental Ltd;Dominican republic
SP Trading Ltd;Seychelles or New Zealand
Sparks Management Corporation;Bahamas
Starcourt Worldwide Ltd;Belize
Sunroad Investments Corp;
SYSTEMO AG;Panama
Telford Trading SA;Panama
TENBY SERVICES LIMITED;BVI
TORMEX ALLIANCE LTD;
Univet Invest;?
VEB Solutions Corporation;Panama
Velasco International Inc.;BVI
Voximar Com SRL;Moldova
Ysanne Trading Ltd.;BVI
Ziteron Ltd;US
